Tn,Tg,Time,Zn,Conc,Peak,FWHM
0,0,0,1,0.333333333,0.11,0.594
0.5,0,0,1,0,0.14,0.58
1,0,0,1,0.333333333,0.165,0.356
0,0,0,0.5,0.333333333,0.17,0.724
0.25,0,0,0.5,0.333333333,0.17,0.71
0.5,0,0,1,0.333333333,0.17,0.505
0.5,0,0.052631579,1,0,0.17,0.483
1,0,0,0.5,0,0.18,0.655
0.75,0,0,0.5,0.333333333,0.19,0.684
0.5,0,0,1,0.666666667,0.2,0.484
0.75,0.25,0,0.5,0.333333333,0.205,0.62
1,0,0,0.5,0.333333333,0.205,0.62
0.5,0,0,0.5,0.333333333,0.21,0.645
0,0,0,0,0,0.215,0.748
0,0,0.052631579,1,0.333333333,0.22,0.509
0.5,0,0.052631579,1,0.333333333,0.22,0.416
0.5,0,0,1,1,0.22,0.46
1,0,0.052631579,0.5,0,0.22,0.598
1,0,0,0.5,0.666666667,0.225,0.57
0.5,0.25,0,0.5,0.333333333,0.23,0.677
1,0.25,0,0.5,0.333333333,0.235,0.591
0.25,0.25,0,0.5,0.333333333,0.24,0.644
0,0,0,0,0.333333333,0.24,0.84
1,0,0,0,0.333333333,0.245,0.681
0.5,0,0.105263158,1,0,0.245,0.365
1,0,0.052631579,1,0.333333333,0.25,0.298
0,0,0,0,0.666666667,0.255,0.655
1,0,0,0.5,1,0.255,0.508
0.5,0,0,0,0.333333333,0.26,0.779
1,0,0.052631579,0.5,0.333333333,0.265,0.562
0.5,0,0.052631579,1,0.666666667,0.265,0.393
0.5,0.5,0,1,0.333333333,0.28,0.469
0,0,0.052631579,0.5,0.333333333,0.285,0.635
0.5,0,0.052631579,0.5,0.333333333,0.285,0.58
0,0,0.105263158,1,0.333333333,0.285,0.436
0,0,0,0,1,0.29,0.633
1,0,0.105263158,0.5,0,0.29,0.473
0.5,0,0.052631579,1,1,0.295,0.378
0,0,0.052631579,0,0,0.3,0.696
1,0,0.052631579,0.5,0.666666667,0.3,0.505
0.75,0,0.052631579,0.5,0.333333333,0.315,0.553
1,0.5,0,0.5,0.333333333,0.315,0.553
1,0,0.105263158,1,0.333333333,0.315,0.223
0.25,0,0.052631579,0.5,0.333333333,0.32,0.551
0.75,0.5,0,0.5,0.333333333,0.325,0.548
0.5,0,0.105263158,1,0.333333333,0.325,0.251
0,0,0.157894737,1,0.333333333,0.33,0.376
0.5,0,0.157894737,1,0,0.33,0.265
0.5,0.5,0,0.5,0.333333333,0.345,0.579
1,0,0.157894737,0.5,0,0.345,0.49
1,0,0.052631579,0.5,1,0.345,0.443
0,0,0.105263158,0,0,0.35,0.645
0,0,0.105263158,0.5,0.333333333,0.355,0.575
1,0,0.105263158,0.5,0.333333333,0.355,0.469
0,0,0.052631579,0,0.333333333,0.36,0.748
0.5,0,0.052631579,0,0.333333333,0.36,0.695
0.75,0.25,0.052631579,0.5,0.333333333,0.365,0.517
0.5,0.25,0.052631579,0.5,0.333333333,0.37,0.542
0,0,0.210526316,1,0.333333333,0.37,0.39
1,0,0.052631579,0,0.333333333,0.37,0.614
1,0,0.157894737,1,0.333333333,0.37,0.206
0,0,0.157894737,0,0,0.375,0.606
1,0.25,0.052631579,0.5,0.333333333,0.38,0.459
0.5,0,0.210526316,1,0,0.38,0.22
0.5,0,0.105263158,1,0.666666667,0.38,0.26
0,0,0.052631579,0,0.666666667,0.39,0.596
0,0,0.157894737,0.5,0.333333333,0.395,0.505
0.5,0.5,0,0,0.333333333,0.395,0.718
0,0,0.210526316,0,0,0.395,0.554
1,0,0.210526316,0.5,0,0.395,0.47
0.75,0,0.105263158,0.5,0.333333333,0.4,0.438
1,0,0.105263158,0.5,0.666666667,0.405,0.414
1,1,0,1,0,0.405,0.548
0,0,0.473684211,1,0.333333333,0.415,0.354
1,0,0.210526316,1,0.333333333,0.42,0.233
0.5,0,0.473684211,1,0,0.42,0.17
0.5,0,0.105263158,0.5,0.333333333,0.425,0.389
0,0,0.473684211,0,0,0.425,0.518
0.5,0,0.105263158,1,1,0.425,0.265
0.5,0.5,0.052631579,1,0.333333333,0.43,0.344
1,1,0,1,0.333333333,0.43,0.51
0,0,0.210526316,0.5,0.333333333,0.435,0.518
1,0,0.157894737,0.5,0.333333333,0.435,0.45
0,0,0.105263158,0,0.333333333,0.435,0.678
0.25,0.25,0.052631579,0.5,0.333333333,0.44,0.537
0,0,0.736842105,1,0.333333333,0.44,0.343
0.5,0,0.157894737,1,0.333333333,0.44,0.178
0,0,0.052631579,0,1,0.44,0.52
1,0,0.473684211,0.5,0,0.44,0.554
1,1,0,1,0.666666667,0.44,0.518
0.25,0,0.105263158,0.5,0.333333333,0.45,0.444
1,1,0,1,1,0.45,0.504
1,0.5,0.052631579,0.5,0.333333333,0.455,0.391
0,0,0.736842105,0,0,0.455,0.529
0.5,0,0.736842105,1,0,0.455,0.165
1,0,0.105263158,0.5,1,0.46,0.365
0,0,0.473684211,0.5,0.333333333,0.465,0.463
0.75,0.75,0,0.5,0.333333333,0.465,0.552
1,0,0.473684211,1,0.333333333,0.465,0.241
1,0,0.736842105,0.5,0,0.465,0.58
0,0,1,1,0.333333333,0.47,0.33
1,0,0.105263158,0,0.333333333,0.475,0.518
0,0,0.105263158,0,0.666666667,0.475,0.533
1,1,0,0.5,0.333333333,0.48,0.558
0,0,0.157894737,0,0.333333333,0.48,0.618
0,0,1,0,0,0.48,0.539
1,0,1,0.5,0,0.485,0.594
0.75,0.5,0.052631579,0.5,0.333333333,0.49,0.416
0.5,0,1,1,0,0.49,0.183
1,1,0.052631579,1,0,0.49,0.404
1,0.75,0,0.5,0.333333333,0.495,0.54
1,0,0.736842105,1,0.333333333,0.495,0.253
0,0,0.210526316,0,0.333333333,0.5,0.605
0,0,0.736842105,0.5,0.333333333,0.51,0.484
1,0,0.210526316,0.5,0.333333333,0.51,0.429
0.5,0,0.210526316,1,0.333333333,0.51,0.133
0.5,0.5,0.105263158,1,0.333333333,0.51,0.265
0.5,0.5,0.052631579,0.5,0.333333333,0.515,0.469
0.75,0,0.157894737,0.5,0.333333333,0.515,0.37
0.5,0,0.105263158,0,0.333333333,0.515,0.505
1,0,1,1,0.333333333,0.515,0.28
1,0.25,0.105263158,0.5,0.333333333,0.52,0.368
0.5,0,0.157894737,1,0.666666667,0.52,0.176
1,1,0.105263158,1,0,0.52,0.36
0,0,0.473684211,0,0.333333333,0.525,0.591
0.75,0.25,0.105263158,0.5,0.333333333,0.53,0.402
1,1,0,0,0.333333333,0.53,0.685
1,0,0.157894737,0.5,0.666666667,0.53,0.39
0,0,0.157894737,0,0.666666667,0.535,0.519
0,0,0.105263158,0,1,0.535,0.44
0.5,0.25,0.105263158,0.5,0.333333333,0.54,0.41
1,1,0.157894737,1,0,0.54,0.391
0,0,1,0.5,0.333333333,0.545,0.489
0,0,0.736842105,0,0.333333333,0.56,0.598
0.5,0,0.157894737,1,1,0.56,0.17
1,1,0.210526316,1,0,0.56,0.403
1,1,0.052631579,1,0.333333333,0.565,0.376
0.5,0,0.157894737,0.5,0.333333333,0.57,0.303
0.5,0,0.473684211,1,0.333333333,0.57,0.095
1,0,0.157894737,0,0.333333333,0.57,0.498
1,1,0.473684211,1,0,0.57,0.408
0,0,0.210526316,0,0.666666667,0.575,0.479
0.25,0,0.157894737,0.5,0.333333333,0.58,0.372
1,0,0.473684211,0.5,0.333333333,0.58,0.517
1,0.5,0.105263158,0.5,0.333333333,0.58,0.396
0.25,0.25,0.105263158,0.5,0.333333333,0.585,0.491
0,0,1,0,0.333333333,0.585,0.603
1,1,0.736842105,1,0,0.585,0.435
0.75,0.5,0.105263158,0.5,0.333333333,0.59,0.369
0.5,0.5,0.052631579,0,0.333333333,0.59,0.608
0.5,0.5,0.157894737,1,0.333333333,0.59,0.214
1,1,1,1,0,0.595,0.431
1,1,0.052631579,1,0.666666667,0.595,0.354
1,0.5,0.157894737,0.5,0.333333333,0.6,0.413
0,0,0.157894737,0,1,0.6,0.415
1,0,0.210526316,0.5,0.666666667,0.6,0.366
1,0,0.157894737,0.5,1,0.6,0.343
0.5,0.5,0.105263158,0.5,0.333333333,0.605,0.388
0.75,0,0.210526316,0.5,0.333333333,0.605,0.34
1,0,0.736842105,0.5,0.333333333,0.605,0.544
1,0.25,0.157894737,0.5,0.333333333,0.605,0.364
0,0,0.473684211,0,0.666666667,0.61,0.405
1,1,0.052631579,1,1,0.61,0.328
0.5,0,0.210526316,1,0.666666667,0.615,0.115
0.75,0.25,0.157894737,0.5,0.333333333,0.62,0.347
0.75,0.75,0.052631579,0.5,0.333333333,0.62,0.466
1,0.25,0.210526316,0.5,0.333333333,0.62,0.383
1,0.5,0.210526316,0.5,0.333333333,0.62,0.418
0.5,0,0.736842105,1,0.333333333,0.62,0.109
1,1,0.105263158,1,0.333333333,0.62,0.334
0,0,0.736842105,0,0.666666667,0.62,0.416
0.5,0.5,0.210526316,1,0.333333333,0.625,0.201
1,1,0.210526316,1,0.333333333,0.625,0.384
1,0.25,0.473684211,0.5,0.333333333,0.63,0.391
1,1,0.473684211,1,0.333333333,0.63,0.389
1,1,1,1,0.333333333,0.63,0.406
1,0,1,0.5,0.333333333,0.635,0.556
1,0.5,0.473684211,0.5,0.333333333,0.635,0.437
1,1,0.157894737,1,0.333333333,0.635,0.368
1,1,0.736842105,1,0.333333333,0.635,0.41
0,0,1,0,0.666666667,0.635,0.433
1,0.25,0.736842105,0.5,0.333333333,0.64,0.4
1,0.25,1,0.5,0.333333333,0.64,0.447
1,1,0.052631579,0.5,0.333333333,0.64,0.447
0.5,0,1,1,0.333333333,0.64,0.124
0.5,0.25,0.157894737,0.5,0.333333333,0.645,0.351
0.75,0.5,0.157894737,0.5,0.333333333,0.645,0.374
1,0.5,0.736842105,0.5,0.333333333,0.645,0.457
0.5,0.5,0.473684211,1,0.333333333,0.645,0.228
1,0,0.210526316,0,0.333333333,0.645,0.47
0,0,0.210526316,0,1,0.645,0.376
0.5,0,0.473684211,1,0.666666667,0.645,0.101
0.5,0,0.210526316,0.5,0.333333333,0.65,0.219
1,0.5,1,0.5,0.333333333,0.65,0.479
0.5,0,0.210526316,1,1,0.65,0.108
0.75,0.75,0.105263158,0.5,0.333333333,0.655,0.442
0.5,0.5,0.736842105,1,0.333333333,0.655,0.235
1,0.75,0.052631579,0.5,0.333333333,0.66,0.475
0,0,0.473684211,0,1,0.66,0.343
0.75,0,0.473684211,0.5,0.333333333,0.665,0.356
0.5,0.5,1,1,0.333333333,0.665,0.239
0,0,0.736842105,0,1,0.665,0.323
0.5,0,0.736842105,1,0.666666667,0.665,0.104
1,0,0.473684211,0.5,0.666666667,0.665,0.415
1,1,0.105263158,1,0.666666667,0.67,0.31
0.75,0.5,0.210526316,0.5,0.333333333,0.675,0.4
0.25,0.25,0.157894737,0.5,0.333333333,0.68,0.41
0.5,0,0.157894737,0,0.333333333,0.68,0.39
0,0,1,0,1,0.68,0.315
0.5,0,1,1,0.666666667,0.68,0.118
1,0,0.210526316,0.5,1,0.68,0.32
0.25,0,0.210526316,0.5,0.333333333,0.685,0.303
1,1,0.105263158,1,1,0.685,0.284
0.75,0.25,0.210526316,0.5,0.333333333,0.69,0.302
0.5,0,0.473684211,1,1,0.69,0.103
1,0,0.736842105,0.5,0.666666667,0.69,0.466
0.75,0,0.736842105,0.5,0.333333333,0.695,0.393
1,0.75,1,0.5,0.333333333,0.695,0.497
1,1,0.157894737,1,0.666666667,0.695,0.326
1,0.75,0.736842105,0.5,0.333333333,0.7,0.461
1,0,0.473684211,0,0.333333333,0.7,0.544
0.75,0.25,0.473684211,0.5,0.333333333,0.705,0.332
0.75,0.5,0.473684211,0.5,0.333333333,0.705,0.436
0.75,0.75,0.157894737,0.5,0.333333333,0.705,0.355
1,0.75,0.105263158,0.5,0.333333333,0.705,0.436
1,0.75,0.473684211,0.5,0.333333333,0.705,0.413
1,1,0.052631579,0,0.333333333,0.705,0.559
0.5,0,0.736842105,1,1,0.705,0.095
1,0,1,0.5,0.666666667,0.705,0.473
1,1,0.736842105,1,0.666666667,0.705,0.366
0.5,0.5,0.157894737,0.5,0.333333333,0.71,0.342
0.75,0.25,0.736842105,0.5,0.333333333,0.71,0.353
0.75,0.25,1,0.5,0.333333333,0.71,0.342
1,0.75,0.210526316,0.5,0.333333333,0.71,0.353
1,1,0.210526316,1,0.666666667,0.71,0.34
1,1,1,1,0.666666667,0.71,0.368
1,1,0.473684211,1,1,0.71,0.303
0.75,0,1,0.5,0.333333333,0.715,0.409
0.75,0.5,0.736842105,0.5,0.333333333,0.715,0.455
0.75,0.75,1,0.5,0.333333333,0.715,0.467
1,0.75,0.157894737,0.5,0.333333333,0.715,0.375
0.5,0,1,1,1,0.715,0.098
1,1,0.473684211,1,0.666666667,0.715,0.353
1,1,0.736842105,1,1,0.715,0.316
0.5,0.25,0.210526316,0.5,0.333333333,0.72,0.304
0.75,0.75,0.736842105,0.5,0.333333333,0.72,0.431
1,1,0.105263158,0.5,0.333333333,0.72,0.396
0.5,0.5,0.105263158,0,0.333333333,0.72,0.526
1,1,0.157894737,1,1,0.72,0.289
0.75,0.75,0.473684211,0.5,0.333333333,0.73,0.404
1,1,0.473684211,0.5,0.333333333,0.73,0.45
1,0,0.736842105,0,0.333333333,0.73,0.576
1,1,0.210526316,1,1,0.73,0.291
0.75,0.5,1,0.5,0.333333333,0.735,0.426
1,1,0.736842105,0.5,0.333333333,0.735,0.471
1,1,1,1,1,0.735,0.324
0.75,0.75,0.210526316,0.5,0.333333333,0.74,0.367
1,1,0.210526316,0.5,0.333333333,0.74,0.447
1,1,1,0.5,0.333333333,0.74,0.492
1,0,1,0,0.333333333,0.745,0.59
0.25,0.25,0.210526316,0.5,0.333333333,0.75,0.352
0.5,0,0.473684211,0.5,0.333333333,0.75,0.148
1,0,0.473684211,0.5,1,0.755,0.366
1,1,0.157894737,0.5,0.333333333,0.76,0.417
0.5,0.5,0.210526316,0.5,0.333333333,0.765,0.314
0.5,0.25,0.473684211,0.5,0.333333333,0.77,0.301
0.5,0,0.210526316,0,0.333333333,0.775,0.306
